,,,,,,,,,,,,,,,,,,,,,,,
947 properties found,,,,,,,,,,,,,,,,,,,,,,,
Property Link,Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Lot Size,Units,Price/Unit,NOI,Cap Rate,Asking Price,Price/SqFt,Price/Acre,Days on Market,Opportunity Zone,Longitude,Latitude
https://www.crexi.com/properties/1991025/new-jersey-1803-underwood-blvd,1803 Underwood Blvd,On-Market,Industrial,1803 Underwood Blvd,Delran,NJ,8075,Single,,,17801,1.02,1,,,,,,,85,No,-74.9619124,40.0213486
https://www.crexi.com/properties/1717148/new-jersey-manufacturing-building-for-sale,MANUFACTURING BUILDING FOR SALE,On-Market,Industrial,1340 W Front St,Plainfield,NJ,7063,N/A,,,20000,1.1,,,,,"$35,00,000.00 ",$175.00 ,"$31,81,818.18 ",316,No,-74.4478456,40.6020568
https://www.crexi.com/properties/2148060/new-jersey-68-county-line-road,68 County Line Road,On-Market,Industrial,68 County Line Rd,Branchburg,NJ,8876,N/A,,,,,,,,,"$2,50,00,000.00 ",,,15,No,-74.7178247,40.6039088
https://www.crexi.com/properties/2008021/new-jersey-468-parish-dr,468 Parish Dr,On-Market,Office,468 Parish Dr,Wayne,NJ,7470,Multi,,,11500,,6,,"$2,70,000.00 ",7.71%,"$35,00,000.00 ",$304.35 ,,80,No,-74.2441144,40.9169745
https://www.crexi.com/properties/2034358/new-jersey-68-w-passaic-street,68 W Passaic Street,On-Market,Industrial,68 W Passaic St,Rochelle Park,NJ,7662,Multi,,,32000,1.223,,,,,,,,66,No,-74.074899,40.9109647
https://www.crexi.com/properties/2166656/new-jersey-2530-springfield-ave,2530 Springfield Ave,On-Market,"Retail, Industrial, Mixed Use, Land",2530 Springfield Ave,Union,NJ,7088,N/A,,,103673,,,,,,,,,19,No,-74.29363067,40.71683386
https://www.crexi.com/properties/1925487/new-jersey-modern-office-building,Modern Office Building,Highest & Best,Office,228 Rivervale Rd,River Vale,NJ,7675,Single,,,,,,,$0.00 ,0.00%,"$28,50,000.00 ",,,139,No,-74.00717375,40.99659371
https://www.crexi.com/properties/1071187/new-jersey-pleasantville-warehouse,Pleasantville Warehouse for Sale  GC Zoned  UEZ,On-Market,"Industrial, Mixed Use, Office, Retail, Self Storage",201 W Decatur Ave,Pleasantville,NJ,8232,Multi,,,52000,3.25,,,"$1,10,000.00 ",,"$55,00,000.00 ",$105.77 ,"$16,92,307.69 ",932,No,-74.5292088,39.3902782
https://www.crexi.com/properties/2070347/new-jersey-3145-bordentown-ave-parlin-nj-08859,3145 Bordentown Ave Parlin NJ 08859,On-Market,"Office, Retail",3145 Bordentown Ave,Sayreville,NJ,8859,N/A,,,25000,3.93,,,,,,,,59,No,-74.31688843,40.4474254
https://www.crexi.com/properties/1896109/new-jersey-citymd,CityMD  2025 Construction,On-Market,"Office, Retail",619 Somerset St,Franklin Township,NJ,8873,Single,,10,3500,0.53,1,,"$2,75,000.00 ",6.00%,"$45,83,000.00 ","$1,309.43 ","$86,47,169.81 ",163,No,-74.4709267,40.4865579
https://www.crexi.com/properties/1953866/new-jersey-1-fairview-avenue,1 Fairview Avenue,On-Market,Office,1 Fairview Avenue,Phillipsburg,NJ,8865,N/A,,,8500,,,,,,,,,115,No,-75.1957697,40.6975232
https://www.crexi.com/properties/2163255/new-jersey-400-old-hook-road,400 Old Hook Road,On-Market,Office,400 Old Hook Rd,Westwood,NJ,7675,Multi,,,33277,1.13,,,,,,,,23,No,-74.00727956,40.98220883
https://www.crexi.com/properties/1832433/new-jersey-20-tannery-road,20 Tannery Road,On-Market,"Industrial, Land",20 Tannery Rd,Somerville,NJ,8876,N/A,,,59000,,1,,,,,,,191,No,-74.7271686,40.6092494
https://www.crexi.com/properties/1815803/new-jersey-1000-belleville-tpke-kearny-nj-07032-4405,"1000 Belleville Tpke, Kearny, NJ 07032-4405",On-Market,Industrial,1000 Belleville Turnpike,Kearny,NJ,7032,Multi,,,55000,3.5,,,,,"$1,72,00,000.00 ",$312.73 ,"$49,14,285.71 ",212,Yes,-74.10418706,40.74946299
https://www.crexi.com/properties/1729475/new-jersey-12-canale-dr,12 Canale Dr,On-Market,Industrial,12 Canal Drive,Egg Harbor,NJ,8234,Multi,,,15000,,,,,,,,,282,Yes,-74.663464,39.3480422
https://www.crexi.com/properties/1282736/new-jersey-gas-station-w-convenience-store,Gas Station w Convenience Store,On-Market,"Industrial, Mixed Use, Retail",700 S Broadway,Pennsville Township,NJ,8070,N/A,,,,,,,"$2,53,000.00 ",13.25%,"$19,10,000.00 ",,,2,No,-75.50256584,39.61396953
https://www.crexi.com/properties/1956090/new-jersey-cold-storage-in-englewood-nj,"150 Van Brunt St 36,000 SF of Industrial cold Storage",On-Market,Industrial,150 south van brunt,englewood,NJ,7631,N/A,,,36000,0.84,,,,,"$2,00,00,000.00 ",$555.56 ,"$2,38,09,523.81 ",114,No,-73.9801165,40.8901201
https://www.crexi.com/properties/1663294/new-jersey-302-326-sherman-ave-newark,"302-326 Sherman Ave, Newark",On-Market,Industrial,310 Sherman Ave,Newark,NJ,7114,N/A,,,145000,,,,,7.00%,,,,382,No,-74.1905087,40.7132129
https://www.crexi.com/properties/2143850/new-jersey-279-glenwood-ave-bloomfield-nj,"279 Glenwood Ave, Bloomfield NJ",On-Market,"Mixed Use, Office, Retail",279 Glenwood Ave,Bloomfield,NJ,7003,Multi,,,8000,0.1,3,,,,"$10,45,000.00 ",$130.63 ,"$1,04,50,000.00 ",39,No,-74.1988651,40.7921914
https://www.crexi.com/properties/2008257/new-jersey-good-investment-warehouse-on-the-opportunity-zone,Good investment warehouse on the opportunity zone,On-Market,Industrial,132 Bergen Blvd,Fairview,NJ,7022,N/A,,,23400,,5,,,,"$49,50,000.00 ",$211.54 ,,80,Yes,-74.00226572,40.81603566
https://www.crexi.com/properties/1926047/new-jersey-609-10th-street,609 10th Street,On-Market,Industrial,609 10th St,Union City,NJ,7087,Vacant,,,42451,0.81,,,,,,,,137,No,-74.0407688,40.7586896
https://www.crexi.com/properties/1839558/new-jersey-the-baker-building,"16 W Blackwell Street, Dover",On-Market,"Office, Retail",16 W Blackwell St,Dover,NJ,7801,N/A,,,11007,0.19,12,,,,"$30,00,000.00 ",$272.55 ,"$1,57,89,473.68 ",190,Yes,-74.559222,40.8838364
https://www.crexi.com/properties/1954031/new-jersey-atlantic-health-systems,Atlantic Health Systems,On-Market,Office,3025 Paramus Pk,Paramus,NJ,7652,Single,,10.7,21934,,,,,,,,,115,No,-74.0675943,40.9538234
https://www.crexi.com/properties/2170312/new-jersey-225-phillips-blvd-ewing-nj,"225 Phillips Blvd, Ewing NJ",On-Market,Industrial,225 Phillips Blvd,Ewing Township,NJ,8618,N/A,,,310000,,,,,,"$3,80,00,000.00 ",$122.58 ,,15,No,-74.793344,40.2817022
https://www.crexi.com/properties/1776800/20000-sf-industrial-warehouse,"25,000 SF Industrial Warehouse",On-Market,Industrial,721 E Lincoln Ave,Rahway,NJ,7065,Vacant,,,25000,1,,,,,"$77,00,000.00 ",$308.00 ,"$77,00,000.00 ",228,Yes,-74.25738677,40.60857322
https://www.crexi.com/properties/1991645/new-jersey-the-art-factory,The Art Factory,On-Market,Industrial,70 Spruce St,Paterson,NJ,7501,N/A,,,230922,4,,,,,"$1,00,00,000.00 ",$43.30 ,"$25,00,000.00 ",87,No,-74.1785809,40.9116934
https://www.crexi.com/properties/1472494/new-jersey-300-raritan-avenue,300 Raritan Avenue,On-Market,"Office, Retail",300 Raritan Avenue,Highland Park,NJ,8904,N/A,,,,,0,,,6.15%,"$24,50,000.00 ",,,561,No,-74.42797483,40.49909563
